hours_slept,workout_intensity,core_minutes,protein_grams,next_day_readiness
7.5,8,20,145.0,Heavy Training
6.8,6,15,120.5,Active Recovery
8.0,9,25,160.0,Heavy Training
5.9,4,10,95.0,Rest
7.2,7,18,135.0,Heavy Training
6.5,5,12,110.0,Active Recovery
8.3,9,30,170.0,Heavy Training
7.0,6,15,125.0,Active Recovery
5.5,3,5,85.0,Rest
7.8,8,22,150.0,Heavy Training
6.9,7,20,138.0,Heavy Training
6.0,4,8,98.0,Rest
8.1,9,28,168.0,Heavy Training
7.4,7,16,132.0,Heavy Training
6.3,5,10,108.0,Active Recovery
7.9,8,24,155.0,Heavy Training
5.8,3,6,90.0,Rest
7.1,6,14,122.0,Active Recovery
8.4,10,35,180.0,Heavy Training
6.7,5,11,112.0,Active Recovery
7.6,8,21,148.0,Heavy Training
6.2,4,9,100.0,Rest
8.0,9,27,165.0,Heavy Training
7.3,7,17,136.0,Heavy Training
5.7,2,4,80.0,Rest
7.7,8,23,152.0,Heavy Training
6.6,5,13,115.0,Active Recovery
8.2,9,29,172.0,Heavy Training
7.0,6,15,124.0,Active Recovery
6.1,4,7,97.0,Rest
7.9,8,26,158.0,Heavy Training
6.4,5,10,109.0,Active Recovery
8.5,10,36,185.0,Heavy Training
7.2,7,18,134.0,Heavy Training
5.6,3,5,88.0,Rest
7.8,8,22,149.0,Heavy Training
6.8,6,14,121.0,Active Recovery
8.1,9,31,175.0,Heavy Training
7.5,7,19,140.0,Heavy Training
6.0,4,8,96.0,Rest
